                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5723,                 1.5116,                 1.0262,                0.37487,                0.11479,                0.11914,                0.07727,                 1.4098,                   1.42,                 1.0035,               0.003466,               0.003466,               0.003466
                     35,                 1.5286,                 1.4877,                  1.018,                0.45215,                0.12105,                0.12469,                0.08337,                 1.3917,                 1.4101,                 1.0001,               0.003268,               0.003268,               0.003268
                     36,                  1.551,                 1.4978,                 1.0175,                0.44997,                0.10109,                0.11567,                0.07559,                 1.3817,                 1.4034,                0.99603,                0.00307,                0.00307,                0.00307
                     37,                  1.535,                 1.4821,                 1.0149,                0.33489,                0.11256,                0.11721,                0.07592,                 1.3889,                 1.4125,                0.99826,               0.002872,               0.002872,               0.002872
                     38,                 1.5265,                 1.4698,                 1.0115,                0.39033,                0.12106,                0.12271,                0.08195,                 1.3696,                 1.3815,                0.99177,               0.002674,               0.002674,               0.002674
                     39,                 1.5192,                 1.4644,                 1.0108,                0.38704,                0.12573,                0.12311,                0.08124,                 1.3727,                 1.3757,                0.99371,               0.002476,               0.002476,               0.002476
                     40,                 1.5023,                 1.4278,                 1.0062,                0.38873,                0.12292,                0.12917,                0.08562,                 1.3659,                 1.3552,                0.98803,               0.002278,               0.002278,               0.002278
                     41,                 1.4979,                 1.4384,                 1.0078,                 0.3747,                0.12098,                0.12255,                0.08289,                 1.3612,                 1.3606,                0.98764,                0.00208,                0.00208,                0.00208
                     42,                 1.4852,                 1.4145,                0.99961,                0.37648,                0.12871,                0.12283,                0.08196,                 1.3599,                  1.357,                0.98576,               0.001882,               0.001882,               0.001882
                     43,                 1.4822,                 1.4103,                0.99974,                 0.4195,                0.11921,                0.13036,                0.08772,                 1.3475,                 1.3383,                0.98366,               0.001684,               0.001684,               0.001684
                     44,                 1.4836,                 1.3987,                 0.9983,                0.39475,                0.12652,                0.13143,                0.09038,                 1.3436,                 1.3451,                0.98576,               0.001486,               0.001486,               0.001486
                     45,                 1.4555,                 1.3808,                0.99233,                0.35244,                 0.1288,                0.13311,                0.08982,                 1.3479,                 1.3367,                0.98462,               0.001288,               0.001288,               0.001288
                     46,                 1.4586,                 1.3908,                0.99526,                  0.379,                0.11907,                0.12812,                0.08605,                 1.3437,                 1.3366,                0.98193,                0.00109,                0.00109,                0.00109
                     47,                 1.4559,                 1.3712,                 0.9958,                 0.3764,                0.12172,                0.12624,                0.08524,                 1.3368,                 1.3314,                0.98039,               0.000892,               0.000892,               0.000892
                     48,                 1.4497,                 1.3656,                 0.9941,                0.38009,                0.12966,                0.12758,                0.08573,                 1.3336,                 1.3386,                0.98119,               0.000694,               0.000694,               0.000694
                     49,                 1.4365,                 1.3543,                0.98818,                0.36315,                0.12179,                0.13362,                 0.0902,                 1.3322,                 1.3359,                0.98047,               0.000496,               0.000496,               0.000496
